ticker,isin,name,weight_percentage,sector,country,currency
,DK0060738599,DEMANT A/S,0.021043390447434866,Gesundheitswesen,Dänemark,DKK
,IT0005366767,NEXI SPA,0.02101813449851715,Finanzdienstleistungen,Italien,EUR
,BE0974320526,UMICORE,0.020828971077801767,Werkstoffe,Belgien,EUR
,GB00B1VNSX38,DRAX GROUP PLC,0.020582750452562578,Versorger,Großbritannien,GBP
,GB00BYRJ5J14,PRIMARY HEALTH PROPERTIES PLC,0.020384104023391258,Immobilien,Großbritannien,GBP
,FR0000121204,WENDEL,0.020354525134707743,Finanzdienstleistungen,Frankreich,EUR
,GB00BM8Q5M07,JD SPORTS FASHION PLC,0.020315918768855145,Nicht-Basiskonsumgüter,Großbritannien,GBP
,NO0012470089,TOMRA SYSTEMS ASA,0.01972469337653005,Industrie,Norwegen,NOK
,DK0010234467,FLSMIDTH & CO A/S,0.019624574428720322,Industrie,Dänemark,DKK
,NL0000852564,AALBERTS NV,0.01958734244297734,Industrie,Niederlande,EUR
,NL0011821392,SIGNIFY NV,0.019462073767831125,Industrie,Niederlande,EUR
,ES0183746314,VIDRALA SA,0.01943049309880396,Werkstoffe,Spanien,EUR
,SE0014504817,LOOMIS AB,0.019339339695338215,Industrie,Schweden,SEK
,NL0009432491,VOPAK,0.01926537318659047,Energie,Niederlande,EUR
,FR0000050809,SOPRA STERIA GROUP,0.019018209067978735,Informationstechnologie,Frankreich,EUR
,DE000A3E5D64,FUCHS SE-PFD,0.01900012496878168,Werkstoffe,Deutschland,EUR
,FO0000000179,BAKKAFROST P/F,0.01891842035713609,Basiskonsumgüter,Norwegen,NOK
,IT0005090300,INFRASTRUTTURE WIRELESS ITALIANE,0.018895307341113825,Kommunikationsdienstleistungen,Italien,EUR
,DK0060946788,AMBU A/S-B,0.01874500244642708,Gesundheitswesen,Dänemark,DKK
,GB00BYT18307,TBC BANK GROUP PLC,0.01870729935689912,Finanzdienstleistungen,Großbritannien,GBP
,FR0000071946,ALTEN SA,0.018464778200032964,Informationstechnologie,Frankreich,EUR
,SE0017780133,WALLENSTAM AB-B SHS,0.018373504645457846,Immobilien,Schweden,SEK
,GB00BYZDVK82,SOFTCAT PLC,0.01833161533984028,Informationstechnologie,Großbritannien,GBP
,CH0012100191,TECAN GROUP AG -  REG,0.018255315099378337,Gesundheitswesen,Schweiz,CHF
,CH0002432174,BUCHER INDUSTRIES AG REG,0.018091091177274768,Industrie,Schweiz,CHF
,GB00B62G9D36,SHAFTESBURY CAPITAL PLC,0.017935418128177543,Immobilien,Großbritannien,GBP
,LU1072616219,B&M EUROPEAN VALUE RETAIL SA,0.01790608411345535,Nicht-Basiskonsumgüter,Großbritannien,GBP
,GB00B0WMWD03,QINETIQ GROUP PLC,0.017736961354889332,Industrie,Großbritannien,GBP
,CH0038388911,SULZER AG-REG,0.01771740094001008,Industrie,Schweiz,CHF
,FR0000130403,CHRISTIAN DIOR SE,0.017598408695942435,Nicht-Basiskonsumgüter,Frankreich,EUR
,ES0184262212,VISCOFAN SA,0.017533225647604195,Basiskonsumgüter,Spanien,EUR
,CH0012142631,CLARIANT AG-REG,0.017459041695350543,Werkstoffe,Schweiz,CHF
,GB0002869419,BIG YELLOW GROUP PLC,0.01732861188001202,Immobilien,Großbritannien,GBP
,ES0105777017,PUIG BRANDS SA-B,0.01662657037660196,Basiskonsumgüter,Spanien,EUR
,IE00B00MZ448,GRAFTON GROUP PLC-UTS LDN (GBP),0.01631703926020715,Industrie,Großbritannien,GBP
,GB00BND88V85,BRIDGEPOINT GROUP,0.01616873764596709,Finanzdienstleistungen,Großbritannien,GBP
,GB00B7KR2P84,EASYJET PLC,0.016138286125920838,Industrie,Großbritannien,GBP
,NO0003055501,NORDIC SEMICONDUCTOR ASA,0.016077330939389664,Informationstechnologie,Norwegen,NOK
,DE000AUM0V10,AUMOVIO SE,0.01599134189062272,Nicht-Basiskonsumgüter,Deutschland,EUR
,GB0006928617,UNITE GROUP,0.01589363589425389,Immobilien,Großbritannien,GBP
,DE000KSAG888,K+S AG-REG,0.015681925639259943,Werkstoffe,Deutschland,EUR
,CH0126673539,DKSH HOLDING AG,0.015522724419269045,Industrie,Schweiz,CHF
,DK0015998017,BAVARIAN NORDIC,0.015459100549447055,Gesundheitswesen,Dänemark,DKK
,GB0001859296,VISTRY GROUP PLC,0.01545884167452412,Nicht-Basiskonsumgüter,Großbritannien,GBP
,GB0002652740,DERWENT LONDON PLC,0.015425130502026612,Immobilien,Großbritannien,GBP
,DE0006969603,PUMA SE,0.015281849661195323,Nicht-Basiskonsumgüter,Deutschland,EUR
,CH0239229302,SFS GROUP AG,0.015125645932792775,Industrie,Schweiz,CHF
,FI4000571013,HIAB OYJ,0.014822630192459205,Industrie,Finnland,EUR
,SE0007074281,HEXPOL AB,0.014654762091494302,Werkstoffe,Schweden,SEK
,FR0000121220,SODEXO SA,0.014266334270592615,Nicht-Basiskonsumgüter,Frankreich,EUR
,IT0003492391,DIASORIN SPA,0.014095324953882363,Gesundheitswesen,Italien,EUR
,GB00B63QSB39,GREGGS PLC,0.013403103339208753,Nicht-Basiskonsumgüter,Großbritannien,GBP
,IT0004056880,AMPLIFON SPA,0.012683294686941893,Gesundheitswesen,Italien,EUR
,SE0015671995,HEMNET GROUP AB,0.012648531727919746,Kommunikationsdienstleistungen,Schweden,SEK
,GB00BP92CJ43,TATE & LYLE PLC,0.012375991223547003,Basiskonsumgüter,Großbritannien,GBP
,FR001400UH76,EURAZEO PRIME DE FIDELITE 2027,0.012355265728647593,Finanzdienstleistungen,Frankreich,EUR
,BE0974400328,AZELIS GROUP NV,0.012254397157923603,Industrie,Belgien,EUR
,SE0022060521,KINNEVIK AB - B,0.011990362237732376,Finanzdienstleistungen,Schweden,SEK
,FR001400S2Z6,SODEXO PRIME FIDELITE 2029,0.010492760379268242,Nicht-Basiskonsumgüter,Frankreich,EUR
,DE0005470405,LANXESS AG,0.009657189419058293,Werkstoffe,Deutschland,EUR
,GB00B3MBS747,OCADO GROUP PLC,0.008679070739797982,Basiskonsumgüter,Großbritannien,GBP
,FR0000121121,EURAZEO SE,0.008184899299057906,Finanzdienstleistungen,Frankreich,EUR
,FR001400UH84,SEB PRIME DE FIDELITE 2027,0.00784421875754039,Nicht-Basiskonsumgüter,Frankreich,EUR
,FR0011532431,SODEXO-ACT PROV PRIME DE FIDELITE,0.006380191633631487,Nicht-Basiskonsumgüter,Frankreich,EUR
,FR0000121709,SEB SA,0.0042089462221886085,Nicht-Basiskonsumgüter,Frankreich,EUR
,ES06837469D8,VIDRALA SA-RTS - EXPD,0.0009933022935316345,Werkstoffe,Spanien,EUR
,DE000TKMS001,TKMS AG& CO KGAA,4.78604300127351e-07,Industrie,Deutschland,EUR
,GB00B7FC0762,NMC HEALTH PLC DLST,1.4286695526189585e-10,Gesundheitswesen,Vereinigte Arabische Emirate,GBP
