ticker,name,weight_percentage,raw_ticker
EQT,EQT CORP,0.06,EQT
VTR,VENTAS REIT INC,0.06,VTR
PAYX,PAYCHEX INC,0.06,PAYX
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,0.06,WAB
KMB,KIMBERLY CLARK CORP,0.06,KMB
SYY,SYSCO CORP,0.06,SYY
FIS,FIDELITY NATIONAL INFORMATION SERV,0.06,FIS
ED,CONSOLIDATED EDISON INC,0.06,ED
WEC,WEC ENERGY GROUP INC,0.06,WEC
KEYS,KEYSIGHT TECHNOLOGIES INC,0.06,KEYS
CPRT,COPART INC,0.06,CPRT
ACGL,ARCH CAPITAL GROUP LTD,0.06,ACGL
FISV,FISERV INC,0.06,FISV
OTIS,OTIS WORLDWIDE CORP,0.06,OTIS
XYL,XYLEM INC,0.06,XYL
UAL,UNITED AIRLINES HOLDINGS INC,0.06,UAL
STT,STATE STREET CORP,0.06,STT
PCG,PG&E CORP,0.06,PCG
XYZ,BLOCK INC CLASS A,0.06,XYZ
KVUE,KENVUE INC,0.06,KVUE
GRMN,GARMIN LTD,0.06,GRMN
NRG,NRG ENERGY INC,0.05,NRG
VRSK,VERISK ANALYTICS INC,0.05,VRSK
EXPE,EXPEDIA GROUP INC,0.05,EXPE
WTW,WILLIS TOWERS WATSON PLC,0.05,WTW
MCHP,MICROCHIP TECHNOLOGY INC,0.05,MCHP
VICI,VICI PPTYS INC,0.05,VICI
TER,TERADYNE INC,0.05,TER
OXY,OCCIDENTAL PETROLEUM CORP,0.05,OXY
MTB,M&T BANK CORP,0.05,MTB
MTD,METTLER TOLEDO INC,0.05,MTD
SYF,SYNCHRONY FINANCIAL,0.05,SYF
FANG,DIAMONDBACK ENERGY INC,0.05,FANG
HUM,HUMANA INC,0.05,HUM
ADM,ARCHER DANIELS MIDLAND,0.05,ADM
FITB,FIFTH THIRD BANCORP,0.05,FITB
CSGP,COSTAR GROUP INC,0.05,CSGP
HPE,HEWLETT PACKARD ENTERPRISE,0.05,HPE
IR,INGERSOLL RAND INC,0.05,IR
LEN,LENNAR A CORP CLASS A,0.05,LEN
SNDK,SANDISK CORP,0.05,SNDK
TSCO,TRACTOR SUPPLY,0.05,TSCO
FSLR,FIRST SOLAR INC,0.05,FSLR
EXR,EXTRA SPACE STORAGE REIT INC,0.05,EXR
CCL,CARNIVAL CORP,0.05,CCL
EXE,EXPAND ENERGY CORP,0.05,EXE
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,0.05,IBKR
RJF,RAYMOND JAMES INC,0.05,RJF
DTE,DTE ENERGY,0.05,DTE
AEE,AMEREN CORP,0.05,AEE
HSY,HERSHEY FOODS,0.05,HSY
ATO,ATMOS ENERGY CORP,0.05,ATO
EME,EMCOR GROUP INC,0.05,EME
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,0.05,BR
CBOE,CBOE GLOBAL MARKETS INC,0.05,CBOE
BIIB,BIOGEN INC,0.05,BIIB
ODFL,OLD DOMINION FREIGHT LINE INC,0.04,ODFL
PPL,PPL CORP,0.04,PPL
HBAN,HUNTINGTON BANCSHARES INC,0.04,HBAN
DOV,DOVER CORP,0.04,DOV
AVB,AVALONBAY COMMUNITIES REIT INC,0.04,AVB
EFX,EQUIFAX INC,0.04,EFX
AWK,AMERICAN WATER WORKS INC,0.04,AWK
CINF,CINCINNATI FINANCIAL CORP,0.04,CINF
STE,STERIS,0.04,STE
VLTO,VERALTO CORP,0.04,VLTO
DXCM,DEXCOM INC,0.04,DXCM
CNP,CENTERPOINT ENERGY INC,0.04,CNP
PHM,PULTEGROUP INC,0.04,PHM
NTRS,NORTHERN TRUST CORP,0.04,NTRS
ULTA,ULTA BEAUTY INC,0.04,ULTA
GIS,GENERAL MILLS INC,0.04,GIS
EL,ESTEE LAUDER INC CLASS A,0.04,EL
IRM,IRON MOUNTAIN INC,0.04,IRM
ES,EVERSOURCE ENERGY,0.04,ES
DG,DOLLAR GENERAL CORP,0.04,DG
LDOS,LEIDOS HOLDINGS INC,0.04,LDOS
WAT,WATERS CORP,0.04,WAT
HPQ,HP INC,0.04,HPQ
DVN,DEVON ENERGY CORP,0.04,DVN
FE,FIRSTENERGY CORP,0.04,FE
CFG,CITIZENS FINANCIAL GROUP INC,0.04,CFG
BRO,BROWN & BROWN INC,0.04,BRO
STLD,STEEL DYNAMICS INC,0.04,STLD
OMC,OMNICOM GROUP INC,0.04,OMC
TDY,TELEDYNE TECHNOLOGIES INC,0.04,TDY
NTAP,NETAPP INC,0.04,NTAP
HAL,HALLIBURTON,0.04,HAL
JBL,JABIL INC,0.04,JBL
TPR,TAPESTRY INC,0.04,TPR
HUBB,HUBBELL INC,0.04,HUBB
TROW,T ROWE PRICE GROUP INC,0.04,TROW
RF,REGIONS FINANCIAL CORP,0.04,RF
PPG,PPG INDUSTRIES INC,0.04,PPG
K,KELLANOVA,0.04,K
LH,LABCORP HOLDINGS INC,0.04,LH
NVR,NVR INC,0.04,NVR
WRB,WR BERKLEY CORP,0.04,WRB
WSM,WILLIAMS SONOMA INC,0.04,WSM
EIX,EDISON INTERNATIONAL,0.04,EIX
PODD,INSULET CORP,0.04,PODD
CMS,CMS ENERGY CORP,0.04,CMS
VRSN,VERISIGN INC,0.04,VRSN
EQR,EQUITY RESIDENTIAL REIT,0.04,EQR
KHC,KRAFT HEINZ,0.04,KHC
LVS,LAS VEGAS SANDS CORP,0.04,LVS
DLTR,DOLLAR TREE INC,0.04,DLTR
PTC,PTC INC,0.04,PTC
ON,ON SEMICONDUCTOR CORP,0.04,ON
CPAY,CORPAY INC,0.04,CPAY
DRI,DARDEN RESTAURANTS INC,0.04,DRI
DGX,QUEST DIAGNOSTICS INC,0.03,DGX
LYV,LIVE NATION ENTERTAINMENT INC,0.03,LYV
CTRA,COTERRA ENERGY INC,0.03,CTRA
CHD,CHURCH AND DWIGHT INC,0.03,CHD
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,0.03,SBAC
TYL,TYLER TECHNOLOGIES INC,0.03,TYL
IP,INTERNATIONAL PAPER,0.03,IP
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,0.03,EXPD
LULU,LULULEMON ATHLETICA INC,0.03,LULU
NI,NISOURCE INC,0.03,NI
TRMB,TRIMBLE INC,0.03,TRMB
STZ,CONSTELLATION BRANDS INC CLASS A,0.03,STZ
WST,WEST PHARMACEUTICAL SERVICES INC,0.03,WST
AMCR,AMCOR PLC,0.03,AMCR
GPN,GLOBAL PAYMENTS INC,0.03,GPN
CDW,CDW CORP,0.03,CDW
CHRW,CH ROBINSON WORLDWIDE INC,0.03,CHRW
ZBH,ZIMMER BIOMET HOLDINGS INC,0.03,ZBH
LUV,SOUTHWEST AIRLINES,0.03,LUV
CHTR,CHARTER COMMUNICATIONS INC CLASS A,0.03,CHTR
CNC,CENTENE CORP,0.03,CNC
L,LOEWS CORP,0.03,L
SW,SMURFIT WESTROCK PLC,0.03,SW
FTV,FORTIVE CORP,0.03,FTV
ROL,ROLLINS INC,0.03,ROL
GPC,GENUINE PARTS,0.03,GPC
GDDY,GODADDY INC CLASS A,0.03,GDDY
TTD,TRADE DESK INC CLASS A,0.03,TTD
SNA,SNAP ON INC,0.03,SNA
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,0.03,IFF
IT,GARTNER INC,0.03,IT
PNR,PENTAIR,0.03,PNR
PKG,PACKAGING CORP OF AMERICA,0.03,PKG
EVRG,EVERGY INC,0.03,EVRG
LNT,ALLIANT ENERGY CORP,0.03,LNT
PFG,PRINCIPAL FINANCIAL GROUP INC,0.03,PFG
KEY,KEYCORP,0.03,KEY
APTV,APTIV PLC,0.03,APTV
Q,QNITY ELECTRONICS INC,0.03,Q
DOW,DOW INC,0.03,DOW
TPL,TEXAS PACIFIC LAND CORP,0.03,TPL
ESS,ESSEX PROPERTY TRUST REIT INC,0.03,ESS
DD,DUPONT DE NEMOURS INC,0.03,DD
MKC,MCCORMICK & CO NON-VOTING INC,0.03,MKC
HOLX,HOLOGIC INC,0.03,HOLX
SMCI,SUPER MICRO COMPUTER INC,0.03,SMCI
TSN,TYSON FOODS INC CLASS A,0.03,TSN
INCY,INCYTE CORP,0.03,INCY
J,JACOBS SOLUTIONS INC,0.03,J
MAA,MID AMERICA APARTMENT COMMUNITIES,0.03,MAA
WY,WEYERHAEUSER REIT,0.03,WY
INVH,INVITATION HOMES INC,0.03,INVH
LII,LENNOX INTERNATIONAL INC,0.03,LII
COO,COOPER INC,0.03,COO
ALB,ALBEMARLE CORP,0.03,ALB
TXT,TEXTRON INC,0.03,TXT
BBY,BEST BUY INC,0.03,BBY
GEN,GEN DIGITAL INC,0.02,GEN
ALLE,ALLEGION PLC,0.02,ALLE
JBHT,JB HUNT TRANSPORT SERVICES INC,0.02,JBHT
RL,RALPH LAUREN CORP CLASS A,0.02,RL
FOXA,FOX CORP CLASS A,0.02,FOXA
FFIV,F5 INC,0.02,FFIV
KIM,KIMCO REALTY REIT CORP,0.02,KIM
DECK,DECKERS OUTDOOR CORP,0.02,DECK
AVY,AVERY DENNISON CORP,0.02,AVY
MAS,MASCO CORP,0.02,MAS
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,0.02,UHS
DPZ,DOMINOS PIZZA INC,0.02,DPZ
BALL,BALL CORP,0.02,BALL
IEX,IDEX CORP,0.02,IEX
EG,EVEREST GROUP LTD,0.02,EG
TKO,TKO GROUP HOLDINGS INC CLASS A,0.02,TKO
CLX,CLOROX,0.02,CLX
BG,BUNGE GLOBAL SA,0.02,BG
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,0.02,ZBRA
NDSN,NORDSON CORP,0.02,NDSN
SOLV,SOLVENTUM CORP,0.02,SOLV
VTRS,VIATRIS INC,0.02,VTRS
CF,CF INDUSTRIES HOLDINGS INC,0.02,CF
JKHY,JACK HENRY AND ASSOCIATES INC,0.02,JKHY
DOC,HEALTHPEAK PROPERTIES INC,0.02,DOC
BLDR,BUILDERS FIRSTSOURCE INC,0.02,BLDR
AKAM,AKAMAI TECHNOLOGIES INC,0.02,AKAM
HII,HUNTINGTON INGALLS INDUSTRIES INC,0.02,HII
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,0.02,LYB
RVTY,REVVITY INC,0.02,RVTY
REG,REGENCY CENTERS REIT CORP,0.02,REG
CPT,CAMDEN PROPERTY TRUST REIT,0.02,CPT
WYNN,WYNN RESORTS LTD,0.02,WYNN
AIZ,ASSURANT INC,0.02,AIZ
HST,HOST HOTELS & RESORTS REIT INC,0.02,HST
SWK,STANLEY BLACK & DECKER INC,0.02,SWK
UDR,UDR REIT INC,0.02,UDR
DAY,DAYFORCE INC,0.02,DAY
HAS,HASBRO INC,0.02,HAS
IVZ,INVESCO LTD,0.02,IVZ
SJM,JM SMUCKER,0.02,SJM
EPAM,EPAM SYSTEMS INC,0.02,EPAM
FDS,FACTSET RESEARCH SYSTEMS INC,0.02,FDS
PNW,PINNACLE WEST CORP,0.02,PNW
GL,GLOBE LIFE INC,0.02,GL
BXP,BXP INC,0.02,BXP
AES,AES CORP,0.02,AES
SWKS,SKYWORKS SOLUTIONS INC,0.02,SWKS
ALGN,ALIGN TECHNOLOGY INC,0.02,ALGN
TECH,BIO TECHNE CORP,0.02,TECH
BAX,BAXTER INTERNATIONAL INC,0.02,BAX
NWSA,NEWS CORP CLASS A,0.02,NWSA
APA,APA CORP,0.02,APA
GNRC,GENERAC HOLDINGS INC,0.02,GNRC
FOX,FOX CORP CLASS B,0.02,FOX
BZFUT,CASH COLLATERAL USD BZFUT,0.01,BZFUT
CRL,CHARLES RIVER LABORATORIES INTERNA,0.01,CRL
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,0.01,NCLH
CAG,CONAGRA BRANDS INC,0.01,CAG
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,0.01,ARE
MTCH,MATCH GROUP INC,0.01,MTCH
LW,LAMB WESTON HOLDINGS INC,0.01,LW
MRNA,MODERNA INC,0.01,MRNA
PAYC,PAYCOM SOFTWARE INC,0.01,PAYC
POOL,POOL CORP,0.01,POOL
TAP,MOLSON COORS BREWING CLASS B,0.01,TAP
MOH,MOLINA HEALTHCARE INC,0.01,MOH
LKQ,LKQ CORP,0.01,LKQ
MOS,MOSAIC,0.01,MOS
AOS,A O SMITH CORP,0.01,AOS
ERIE,ERIE INDEMNITY CLASS A,0.01,ERIE
SOLS,SOLSTICE ADVANCED MATERIALS INC,0.01,SOLS
HSIC,HENRY SCHEIN INC,0.01,HSIC
MGM,MGM RESORTS INTERNATIONAL,0.01,MGM
FRT,FEDERAL REALTY INVESTMENT TRUST RE,0.01,FRT
BEN,FRANKLIN RESOURCES INC,0.01,BEN
HRL,HORMEL FOODS CORP,0.01,HRL
CPB,CAMPBELL SOUP,0.01,CPB
MHK,MOHAWK INDUSTRIES INC,0.01,MHK
BFB,BROWN FORMAN CORP CLASS B,0.01,BFB
PSKY,PARAMOUNT SKYDANCE CORP CLASS B,0.01,PSKY
DVA,DAVITA INC,0.01,DVA
NWS,NEWS CORP CLASS B,0.01,NWS
