ticker,isin,name,weight_percentage,sector,country,currency
,US09260D1072,BLACKSTONE INC,0.05462070078561246,Finanzdienstleistungen,USA,USD
,US02079K1079,ALPHABET INC CL C,0.050330741258514916,Kommunikationsdienstleistungen,USA,USD
,US9282541013,VIRTU FINANCIAL INC-CLASS A,0.03852005445116801,Finanzdienstleistungen,USA,USD
,US2441991054,DEERE & CO,0.03755430347536755,Industrie,USA,USD
,US90384S3031,ULTA BEAUTY INC,0.03411213487574036,Nicht-Basiskonsumgüter,USA,USD
,US29084Q1004,EMCOR GROUP INC,0.03145901331933506,Industrie,USA,USD
,US40434L1052,HP INC,0.023690604242827176,Informationstechnologie,USA,USD
,US9892071054,ZEBRA TECHNOLOGIES CLASS A,0.021513375560285798,Informationstechnologie,USA,USD
,US25746U1097,DOMINION ENERGY INC,0.020505445798815955,Versorger,USA,USD
,US8168511090,SEMPRA,0.01839140602637223,Versorger,USA,USD
,US0718131099,BAXTER INTERNATIONAL INC,0.014044221371048448,Gesundheitswesen,USA,USD
,FR0010313833,ARKEMA,0.01203424702769482,Werkstoffe,Frankreich,EUR
,US73278L1052,POOL CORP,0.011012178846676138,Nicht-Basiskonsumgüter,USA,USD
,US95082P1057,WESCO INTERNATIONAL,0.008850999685011544,Industrie,USA,USD
,US7591EP1005,REGIONS FINANCIAL CORP,0.007570838901650532,Finanzdienstleistungen,USA,USD
,US3724601055,GENUINE PARTS CO,0.005545704309038382,Nicht-Basiskonsumgüter,USA,USD
,US0534841012,AVALONBAY COMMUNITIES INC,0.004652780348987033,Immobilien,USA,USD
,US9553061055,WEST PHARMACEUTICAL SERVICES,0.0039049661995259463,Gesundheitswesen,USA,USD
,US5486611073,LOWE S COS INC COM US 0.50,0.0037000726897088777,Nicht-Basiskonsumgüter,USA,USD
,US57636Q1040,MASTERCARD INC-CL A,0.00018205754755683894,Finanzdienstleistungen,USA,USD
