ticker,name,weight_percentage,raw_ticker
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,0.03,IFF
Q,QNITY ELECTRONICS INC,0.03,Q
DD,DUPONT DE NEMOURS INC,0.03,DD
CNC,CENTENE CORP,0.03,CNC
J,JACOBS SOLUTIONS INC,0.03,J
DOW,DOW INC,0.03,DOW
EVRG,EVERGY INC,0.03,EVRG
MAA,MID AMERICA APARTMENT COMMUNITIES,0.03,MAA
SMCI,SUPER MICRO COMPUTER INC,0.03,SMCI
ESS,ESSEX PROPERTY TRUST REIT INC,0.03,ESS
GEN,GEN DIGITAL INC,0.03,GEN
TXT,TEXTRON INC,0.03,TXT
TPL,TEXAS PACIFIC LAND CORP,0.03,TPL
INCY,INCYTE CORP,0.03,INCY
WY,WEYERHAEUSER REIT,0.03,WY
LII,LENNOX INTERNATIONAL INC,0.03,LII
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,0.03,UHS
HOLX,HOLOGIC INC,0.03,HOLX
SOLV,SOLVENTUM CORP,0.03,SOLV
DECK,DECKERS OUTDOOR CORP,0.03,DECK
ALB,ALBEMARLE CORP,0.02,ALB
FFIV,F5 INC,0.02,FFIV
INVH,INVITATION HOMES INC,0.02,INVH
COO,COOPER INC,0.02,COO
BBY,BEST BUY INC,0.02,BBY
EG,EVEREST GROUP LTD,0.02,EG
DPZ,DOMINOS PIZZA INC,0.02,DPZ
JBHT,JB HUNT TRANSPORT SERVICES INC,0.02,JBHT
VTRS,VIATRIS INC,0.02,VTRS
BG,BUNGE GLOBAL SA,0.02,BG
KIM,KIMCO REALTY REIT CORP,0.02,KIM
RL,RALPH LAUREN CORP CLASS A,0.02,RL
ALLE,ALLEGION PLC,0.02,ALLE
CLX,CLOROX,0.02,CLX
AVY,AVERY DENNISON CORP,0.02,AVY
BALL,BALL CORP,0.02,BALL
REG,REGENCY CENTERS REIT CORP,0.02,REG
MAS,MASCO CORP,0.02,MAS
IEX,IDEX CORP,0.02,IEX
WYNN,WYNN RESORTS LTD,0.02,WYNN
AKAM,AKAMAI TECHNOLOGIES INC,0.02,AKAM
DOC,HEALTHPEAK PROPERTIES INC,0.02,DOC
RVTY,REVVITY INC,0.02,RVTY
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,0.02,ZBRA
NDSN,NORDSON CORP,0.02,NDSN
